condition_ratio_recovered_over_true,n_obs,obs_noise,recovered_condition_number,recovered_rank,recovered_weakest_singular_value,recovered_xi_distance_to_true,seed,true_condition_number,true_rank,true_weakest_singular_value,truth_id,weakest_sv_ratio_recovered_over_true
0.9796645993427517,200,0.005,7.379125389394038,3,0.09954927648648243,4.1310632384359245,202,7.532297680598674,3,0.10522218636873755,456,0.9460863713440135
0.9345456167851635,200,0.005,6.814226890513449,3,0.10699628347834629,4.178058108388654,303,7.291486652042077,3,0.10969788925117309,456,0.9753723085168851
0.9917960618050748,200,0.005,6.9363177748372316,3,0.10749415028033209,4.444121484462973,404,6.99369360492629,3,0.11511354837560762,456,0.9338097191616928
1.009732904922293,200,0.02,7.605608817770349,3,0.09840130301965551,4.265168091361258,202,7.532297680598674,3,0.10522218636873755,456,0.935176376917515
0.9460464713832728,200,0.02,6.898085218302641,3,0.10531625276809625,4.1599448184729715,303,7.291486652042077,3,0.10969788925117309,456,0.9600572398157609
0.9899703475917426,200,0.02,6.923549289019027,3,0.10706669798626188,4.585634769503269,404,6.99369360492629,3,0.11511354837560762,456,0.9300964091291025
0.9470924444210734,200,0.005,10.836086034894889,3,0.09292231081070428,2.0156889545753787,202,11.441423800523118,3,0.09277115361582336,789,1.0016293555592386
0.9265075970127766,200,0.005,10.162894544945095,3,0.0984295911239889,2.028688144423126,303,10.969035308196126,3,0.0962843984459974,789,1.022279753652869
0.9582045352417025,200,0.005,10.326006606801762,3,0.10059936098811176,1.5384270213701898,404,10.776411744072028,3,0.0994662914719504,789,1.0113914925287115
0.9587231843551423,200,0.02,10.969158259594238,3,0.09109789997718659,2.5657284985654174,202,11.441423800523118,3,0.09277115361582336,789,0.9819636430784734
0.9353416558521759,200,0.02,10.259795648269147,3,0.09718770186379974,2.5559500028713926,303,10.969035308196126,3,0.0962843984459974,789,1.0093816177115027
0.9193848720844419,200,0.02,9.907669932852938,3,0.09881634710173552,2.3889011181422406,404,10.776411744072028,3,0.0994662914719504,789,0.9934656820858938
